statusType,nID,strSourceName,strStorageName,strTagName,intervalType,nInterval,aggregateType,tmBegin,tmEnd,aggregateLength,aggregateTime,bUpdate,strTableName,strValueCol,strTimeStampCol,strQualityCol,strTagNameCol,strAggregateCol,strCustomCol1,strCustomValue1,strTagNameSql,tkType,wtType
0,74,test,SQL,\采集站1\XK\YX1COM31N03CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03CC,Time,,,,,,,0,0
0,75,test,SQL,\采集站1\XK\YX1COM31N03COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03COS,Time,,,,,,,0,0
0,76,test,SQL,\采集站1\XK\YX1COM31N03CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03CV,Time,,,,,,,0,0
0,77,test,SQL,\采集站1\XK\YX1COM31N03P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03P,Time,,,,,,,0,0
0,78,test,SQL,\采集站1\XK\YX1COM31N03W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03W,Time,,,,,,,0,0
0,79,test,SQL,\采集站1\XK\YX1COM31N01AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01AC,Time,,,,,,,0,0
0,80,test,SQL,\采集站1\XK\YX1COM31N01AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01AV,Time,,,,,,,0,0
0,81,test,SQL,\采集站1\XK\YX1COM31N01CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01CC,Time,,,,,,,0,0
0,82,test,SQL,\采集站1\XK\YX1COM31N01COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01COS,Time,,,,,,,0,0
0,83,test,SQL,\采集站1\XK\YX1COM31N01CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01CV,Time,,,,,,,0,0
0,84,test,SQL,\采集站1\XK\YX1COM31N01P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01P,Time,,,,,,,0,0
0,85,test,SQL,\采集站1\XK\YX1COM31N01W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N01W,Time,,,,,,,0,0
0,86,test,SQL,\采集站1\XK\YX1COM42N02AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02AC,Time,,,,,,,0,0
0,87,test,SQL,\采集站1\XK\YX1COM42N02AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02AV,Time,,,,,,,0,0
0,88,test,SQL,\采集站1\XK\YX1COM42N02CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02CC,Time,,,,,,,0,0
0,89,test,SQL,\采集站1\XK\YX1COM42N02COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02COS,Time,,,,,,,0,0
0,90,test,SQL,\采集站1\XK\YX1COM42N02CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02CV,Time,,,,,,,0,0
0,91,test,SQL,\采集站1\XK\YX1COM42N02P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02P,Time,,,,,,,0,0
0,92,test,SQL,\采集站1\XK\YX1COM42N02W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N02W,Time,,,,,,,0,0
0,93,test,SQL,\采集站1\XK\YX1COM42N04AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04AC,Time,,,,,,,0,0
0,94,test,SQL,\采集站1\XK\YX1COM42N04AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04AV,Time,,,,,,,0,0
0,95,test,SQL,\采集站1\XK\YX1COM42N04CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04CC,Time,,,,,,,0,0
0,96,test,SQL,\采集站1\XK\YX1COM42N04COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04COS,Time,,,,,,,0,0
0,97,test,SQL,\采集站1\XK\YX1COM42N04CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04CV,Time,,,,,,,0,0
0,98,test,SQL,\采集站1\XK\YX1COM42N04P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04P,Time,,,,,,,0,0
0,99,test,SQL,\采集站1\XK\YX1COM42N04W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N04W,Time,,,,,,,0,0
0,100,test,SQL,\采集站1\XK\YX1COM42N06AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06AC,Time,,,,,,,0,0
0,101,test,SQL,\采集站1\XK\YX1COM42N06AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06AV,Time,,,,,,,0,0
0,102,test,SQL,\采集站1\XK\YX1COM42N06CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06CC,Time,,,,,,,0,0
0,103,test,SQL,\采集站1\XK\YX1COM42N06COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06COS,Time,,,,,,,0,0
0,104,test,SQL,\采集站1\XK\YX1COM42N06CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06CV,Time,,,,,,,0,0
0,105,test,SQL,\采集站1\XK\YX1COM42N06P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06P,Time,,,,,,,0,0
0,106,test,SQL,\采集站1\XK\YX1COM42N06W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N06W,Time,,,,,,,0,0
0,107,test,SQL,\采集站1\XK\YX1COM42N08AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08AC,Time,,,,,,,0,0
0,108,test,SQL,\采集站1\XK\YX1COM42N08AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08AV,Time,,,,,,,0,0
0,109,test,SQL,\采集站1\XK\YX1COM42N08CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08CC,Time,,,,,,,0,0
0,110,test,SQL,\采集站1\XK\YX1COM42N08COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08COS,Time,,,,,,,0,0
0,111,test,SQL,\采集站1\XK\YX1COM42N08CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08CV,Time,,,,,,,0,0
0,112,test,SQL,\采集站1\XK\YX1COM42N08P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08P,Time,,,,,,,0,0
0,113,test,SQL,\采集站1\XK\YX1COM42N08W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N08W,Time,,,,,,,0,0
0,114,test,SQL,\采集站1\XK\YX1COM42N10AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10AC,Time,,,,,,,0,0
0,115,test,SQL,\采集站1\XK\YX1COM42N10AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10AV,Time,,,,,,,0,0
0,116,test,SQL,\采集站1\XK\YX1COM42N10CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10CC,Time,,,,,,,0,0
0,117,test,SQL,\采集站1\XK\YX1COM42N10COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10COS,Time,,,,,,,0,0
0,118,test,SQL,\采集站1\XK\YX1COM42N10CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10CV,Time,,,,,,,0,0
0,119,test,SQL,\采集站1\XK\YX1COM42N10P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10P,Time,,,,,,,0,0
0,120,test,SQL,\采集站1\XK\YX1COM42N10W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N10W,Time,,,,,,,0,0
0,121,test,SQL,\采集站1\XK\YX1COM42N13AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13AC,Time,,,,,,,0,0
0,122,test,SQL,\采集站1\XK\YX1COM42N13AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13AV,Time,,,,,,,0,0
0,123,test,SQL,\采集站1\XK\YX1COM42N13CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13CC,Time,,,,,,,0,0
0,124,test,SQL,\采集站1\XK\YX1COM42N13COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13COS,Time,,,,,,,0,0
0,125,test,SQL,\采集站1\XK\YX1COM42N13CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13CV,Time,,,,,,,0,0
0,126,test,SQL,\采集站1\XK\YX1COM42N13P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13P,Time,,,,,,,0,0
0,127,test,SQL,\采集站1\XK\YX1COM42N13W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM42N13W,Time,,,,,,,0,0
